-O0                   ,371562318725,535.270395000
-O1                   ,369406928758,502.953386
-O2                   ,369406918518,490.723893
-O3                   ,369406916470,488.375045
-Ofast                ,368333192883,374.444726
-O0-native            ,371562318725,561.087072
-O1-native            ,369406929230,512.532354
-O2-native            ,369406918518,499.488194
-O3-native            ,369406916470,498.77906
-Ofast-native         ,368333192869,352.410186
-O3-native-blocking   ,369406917302,553.063347000
-Ofast-native-blocking,368333192995,369.181794000 
