solver_rb_intrinsics,342026517494,34.681209000
solver_rb_pragma-4,364784842934,19.761223773,3.998,18.459628164952516
solver_rb_pragma-8,364784900224,13.539615001,7.992,26.94204378758613
solver_rb_pragma-16,364785014885,10.177126214,15.981,35.84361706973717
solver_rb_pragma-32,364785244261,10.286713307,31.877,35.46178778140609
solver_rb_intrinsics_pragma-4,364575127743,20.157872992,3.997,18.085991904388322
solver_rb_intrinsics_pragma-8,364575185024,13.610433283,7.993,26.786449589328626
solver_rb_intrinsics_pragma-16,364575299676,10.032905358,15.981,36.3379586138821
solver_rb_intrinsics_pragma-32,364575529052,9.400742416,31.957,38.78156776548786
solver_rb_intrinsics_pragma2-4,364575127743,20.179321118,3.997,18.06676872879525
solver_rb_intrinsics_pragma2-8,364575185024,13.638751720,7.991,26.730832301124988
solver_rb_intrinsics_pragma2-16,364575299685,10.136772014,15.980,35.9656209275972
solver_rb_intrinsics_pragma2-32,364575529052,9.569177713,31.814,38.09894015832874
